feature,appearances
g_peak,8
corr_length,8
orientation_mean,8
eccentricity_mean,8
solidity_mean,8
area_mean,7
perimeter_mean,6
solidity_slope,6
eccentricity_slope,5
eccentricity_delta_max,4
speed_trend_slope,4
mean_speed,4
perimeter_slope,4
area_slope,4
net_displacement,3
orientation_delta_max,3
perimeter_delta_mean,3
area_delta_max,3
perimeter_delta_max,2
solidity_delta_max,2
eccentricity_trend_slope,2
solidity_delta_mean,2
K,2
eccentricity_delta_mean,2
speed_acceleration,2
area_delta_mean,2
K_y,2
D_est,1
late_eccentricity_mean,1
late_speed_mean,1
early_area_mean,1
alpha_x,1
total_path_length,1
