from_state,to_state,probability
persistent,persistent,0.25183194919394236
reversing,persistent,0.22441305942773293
start,persistent,0.27035573122529644
stationary,persistent,0.0
turning,persistent,0.18170768763293832
persistent,reversing,0.6069858329262335
reversing,reversing,0.607483492296405
start,reversing,0.5399209486166008
stationary,reversing,0.0
turning,reversing,0.5192950470981464
persistent,start,0.0031753786028334147
reversing,start,0.00834556126192223
start,start,0.0
stationary,start,1.0
turning,start,0.006988757216651474
persistent,turning,0.13800683927699073
reversing,turning,0.15975788701393984
start,turning,0.18972332015810275
stationary,turning,0.0
turning,turning,0.29200850805226375
