column,pct_missing
directional_consistency,67.0
temporal_persistence,67.0
alpha_x,58.64
P_est,58.64
alpha,58.64
P_est_y,58.64
D_est_y,58.64
K_y,58.64
alpha_y,58.64
P_est_x,58.64
D_est,58.64
K,58.64
speed_cv,58.64
area_trend_slope,58.64
early_eccentricity_mean,58.64
speed_trend_slope,58.64
late_area_mean,58.64
area_volatility,58.64
late_speed_mean,58.64
early_area_mean,58.64
speed_acceleration,58.64
early_speed_mean,58.64
eccentricity_trend_slope,58.64
late_eccentricity_mean,58.64
D_est_x,58.64
K_x,58.64
directionality_ratio,44.12
persistence_fraction,44.12
eccentricity_slope,44.12
orientation_slope,44.12
solidity_slope,44.12
perimeter_slope,44.12
area_slope,44.12
mean_speed,0.0
area_delta_mean,0.0
area_mean,0.0
num_frames,0.0
Genotype,0.0
track_id,0.0
total_path_length,0.0
max_speed,0.0
net_displacement,0.0
n_stationary,0.0
stack,0.0
perimeter_mean,0.0
area_delta_max,0.0
solidity_delta_max,0.0
orientation_delta_max,0.0
orientation_delta_mean,0.0
eccentricity_delta_mean,0.0
eccentricity_delta_max,0.0
solidity_mean,0.0
perimeter_delta_mean,0.0
perimeter_delta_max,0.0
eccentricity_mean,0.0
orientation_mean,0.0
solidity_delta_mean,0.0
r_peak,0.0
g_peak,0.0
corr_length,0.0
